,delay,day,duration
1279,120,68,84300
1280,60,69,71580
1281,60,69,29820
1282,60,69,46860
1283,1260,69,49380
1284,1320,69,49860
1285,1320,69,50520
1286,1860,69,51780
1287,60,69,50100
1288,180,69,53820
1289,60,69,54060
1290,120,69,67080
1291,180,69,67560
1292,120,69,68220
1293,180,69,68940
1294,120,69,69780
1295,120,69,75300
1296,60,69,83820
1297,60,69,84300
1298,60,69,84960
1299,60,70,72240
1300,120,70,72900
1301,180,70,73620
1302,120,70,27900
1303,120,70,28620
1304,60,70,37380
1305,120,70,39660
1306,120,70,40860
1307,120,70,46500
1308,60,70,50100
1309,120,70,54060
1310,60,70,60600
1311,540,70,61320
1312,900,70,62040
1313,960,70,62760
1314,60,70,67560
1315,180,70,68220
1316,180,70,68940
1317,120,70,69780
1318,60,70,70440
1319,300,70,75300
1320,120,70,78120
1321,120,70,78600
1322,60,73,72900
1323,60,73,73620
1324,480,73,900
1325,420,73,1440
1326,360,73,2100
1327,780,73,24720
1328,780,73,25320
1329,720,73,26040
1330,780,73,26520
1331,720,73,27240
1332,780,73,27900
1333,840,73,28620
1334,240,73,27900
1335,180,73,28440
1336,60,73,29100
1337,240,73,28620
1338,240,73,29880
1339,180,73,30360
1340,60,73,31080
1341,60,73,31260
1342,180,73,32220
1343,60,73,33900
1344,60,73,40860
1345,360,73,39540
1346,1260,73,40680
1347,1260,73,41160
1348,1260,73,41820
1349,1380,73,42540
1350,1380,73,43260
1351,1620,73,42120
1352,1740,73,42600
1353,1680,73,43320
1354,1740,73,44520
1355,180,73,42900
1356,1080,73,44100
1357,960,73,44640
1358,660,73,45360
1359,720,73,46020
1360,840,73,46740
1361,1200,73,45720
1362,1140,73,46200
1363,1020,73,46860
1364,1260,73,48240
1365,180,73,46500
1366,420,73,47700
1367,420,73,48180
1368,300,73,48840
1369,360,73,49500
1370,300,73,50220
1371,180,73,49380
1372,120,73,49860
1373,60,73,50520
1374,60,73,51780
1375,1440,73,52920
1376,1620,73,53400
1377,1740,73,54060
1378,1680,73,54780
1379,1680,73,55440
1380,360,73,62040
1381,300,73,62760
1382,300,73,63660
1383,300,73,64380
1384,60,73,68280
1385,120,73,70440
1386,60,73,71160
1387,60,73,71880
1388,120,73,77700
1389,60,73,78420
1390,60,73,79140
1391,120,73,78900
1392,900,74,71040
1393,840,74,71580
1394,780,74,72240
1395,780,74,72900
1396,780,74,73620
1397,60,74,900
1398,60,74,2100
1399,60,74,24720
1400,60,74,36060
1401,60,74,37380
1402,60,74,42120
1403,60,74,42600
1404,120,74,42900
1405,60,74,46500
1406,60,74,50100
1407,60,74,54060
1408,240,74,56520
1409,120,74,57060
1410,60,74,57720
1411,780,74,57180
1412,960,74,58560
1413,1080,74,58980
1414,1020,74,59640
1415,900,74,60360
1416,900,74,61080
1417,240,74,60120
1418,240,74,60600
1419,60,74,61320
1420,60,74,63660
1421,120,74,64380
1422,120,74,66120
1423,300,74,66780
1424,240,74,67560
1425,300,74,68280
1426,900,74,67080
1427,960,74,67560
1428,900,74,68220
1429,840,74,68940
1430,780,74,69720
1431,60,74,70440
1432,120,74,75300
1433,240,74,76560
1434,240,74,77040
1435,120,74,77700
1436,360,74,78120
1437,360,74,78600
1438,240,74,79260
1439,120,74,79980
1440,120,74,80700
1441,60,74,81300
1442,300,74,82680
1443,180,74,83820
1444,120,74,84300
1445,60,74,84960
1446,60,74,85680
1447,60,75,66060
1448,780,75,48240
1449,60,75,48840
1450,60,75,49500
1451,60,75,50220
1452,60,75,64380
1453,120,75,67560
1454,120,75,68220
1455,120,75,68940
1456,120,75,69720
1457,240,75,75300
1458,60,75,76560
1459,60,75,77040
1460,60,75,78900
1461,60,76,71040
1462,60,76,71580
1463,120,76,900
1464,120,76,1440
1465,60,76,2100
1466,240,76,31800
1467,120,76,32460
1468,60,76,36000
1469,120,76,35880
1470,60,76,37020
1471,120,76,37440
1472,120,76,38520
1473,180,76,38940
1474,60,76,39660
1475,120,76,40860
1476,60,76,44520
1477,60,76,54060
1478,60,76,70440
